ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
0,1.031250,0.006731,0.001042,inf,10,9,0.006333,0.001023,inf
1,0.515625,0.003786,0.000586,inf,10,8,0.003562,0.000575,inf
2,1.421875,0.011932,0.001847,inf,10,7,0.011226,0.001814,inf
3,1.140625,0.009572,0.001481,inf,10,7,0.009005,0.001455,inf
4,0.515625,0.003786,0.000586,inf,10,8,0.003562,0.000575,inf
5,12.453125,0.091439,0.014151,0.292796,10,8,0.086029,0.013899,0.887277
6,9.531250,0.069985,0.010831,0.224097,10,8,0.065844,0.010638,0.679095
7,23.312500,0.228234,0.035322,0.757997,10,6,0.214731,0.034691,1.453418
8,12.296875,0.080259,0.012421,0.233769,10,9,0.075511,0.012199,0.930892
9,14.796875,0.124169,0.019217,0.414508,10,7,0.116823,0.018874,0.988389
10,11.109375,0.093225,0.014428,0.311209,10,7,0.087710,0.014170,0.742075
11,1.750000,0.012850,0.001989,0.041146,10,8,0.012089,0.001953,0.124686
12,0.671875,0.004933,0.000763,0.015797,10,8,0.004641,0.000750,0.047871
13,2.859375,0.018663,0.002888,0.054358,10,9,0.017558,0.002837,0.216459
14,2.968750,0.019376,0.002999,0.056437,10,9,0.018230,0.002945,0.224739
15,18.453125,0.180660,0.027959,0.599996,10,6,0.169972,0.027460,1.150460
16,8.234375,0.053744,0.008318,0.156539,10,9,0.050565,0.008169,0.623354
17,21.062500,0.176748,0.027354,0.590029,10,7,0.166291,0.026865,1.406915
18,17.750000,0.130332,0.020170,0.417335,10,8,0.122621,0.019810,1.264676
19,206.546875,1.348089,0.208633,3.834447,10,9,1.268336,0.204908,15.907757
20,37.921875,0.278447,0.043093,0.889906,10,8,0.261974,0.042324,2.773789
21,10.187500,0.085489,0.013231,0.285385,10,7,0.080432,0.012994,0.680496
22,14.171875,0.092497,0.014315,0.269413,10,9,0.087025,0.014059,1.072832
23,0.703125,0.005163,0.000799,0.016532,10,8,0.004857,0.000785,0.050097
24,2.203125,0.021569,0.003338,0.071634,10,6,0.020293,0.003278,0.137354
25,1.343750,0.011276,0.001745,0.037643,10,7,0.010609,0.001714,0.089759
26,2.203125,0.014379,0.002225,0.041882,10,9,0.013529,0.002186,0.166780
27,7.937500,0.051806,0.008018,0.150895,10,9,0.048742,0.007875,0.600881
28,1.562500,0.010198,0.001578,0.029704,10,9,0.009595,0.001550,0.118284
29,0.578125,0.004851,0.000751,0.016195,10,7,0.004564,0.000737,0.038617
30,0.796875,0.006687,0.001035,0.022323,10,7,0.006291,0.001016,0.053229
31,0.500000,0.003671,0.000568,0.011756,10,8,0.003454,0.000558,0.035625
32,14.843750,0.108992,0.016868,0.349004,10,8,0.102544,0.016567,1.057607
33,11.750000,0.098601,0.015260,0.329155,10,7,0.092768,0.014987,0.784867
34,13.421875,0.087602,0.013557,0.255155,10,9,0.082419,0.013315,1.016056
35,0.796875,0.005201,0.000805,0.015149,10,9,0.004893,0.000791,0.060325
36,0.453125,0.002957,0.000458,0.008614,10,9,0.002782,0.000450,0.034302
37,0.781250,0.005736,0.000888,0.018369,10,8,0.005397,0.000872,0.055664
38,1.296875,0.009522,0.001474,0.030492,10,8,0.008959,0.001447,0.092401
39,1.062500,0.007802,0.001207,0.024981,10,8,0.007340,0.001186,0.075702
40,14.312500,0.093415,0.014457,0.272087,10,9,0.087888,0.014199,1.083478
41,4.437500,0.028963,0.004482,0.084359,10,9,0.027249,0.004402,0.335925
42,0.843750,0.005507,0.000852,0.016040,10,9,0.005181,0.000837,0.063873
43,0.515625,0.004327,0.000670,0.014444,10,7,0.004071,0.000658,0.034442
44,18.015625,0.132282,0.020472,0.423580,10,8,0.124456,0.020107,1.283601
45,1.750000,0.011422,0.001768,0.033268,10,9,0.010746,0.001736,0.132478
46,14.578125,0.107042,0.016566,0.342758,10,8,0.100709,0.016270,1.038682
47,19.765625,0.129006,0.019965,0.375753,10,9,0.121374,0.019609,1.496287
48,0.906250,0.007605,0.001177,0.025387,10,7,0.007155,0.001156,0.060535
49,727.015625,4.745083,0.734359,13.622241,10,9,4.464361,0.721246,55.163618
50,114.218750,0.838668,0.129794,2.646788,10,8,0.789052,0.127476,8.067903
51,63.062500,0.463046,0.071662,1.479877,10,8,0.435652,0.070382,4.612696
52,2445.843750,23.945287,3.705824,79.176704,10,6,22.528669,3.639648,150.058850
53,106.500000,0.893705,0.138312,2.954103,10,7,0.840833,0.135842,7.053909
54,32.171875,0.236227,0.036559,0.754972,10,8,0.222251,0.035906,2.353206
55,1.062500,0.008916,0.001380,0.029657,10,7,0.008389,0.001355,0.072812
56,1.312500,0.008566,0.001326,0.024966,10,9,0.008060,0.001302,0.102061
57,0.937500,0.006119,0.000947,0.017833,10,9,0.005757,0.000930,0.072900
58,500.968750,3.678436,0.569283,11.663613,10,8,3.460818,0.559117,35.586513
59,433.062500,3.634085,0.562419,12.050842,10,7,3.419091,0.552376,28.666136
60,2.562500,0.021503,0.003328,0.071307,10,7,0.020231,0.003268,0.169622
61,0.593750,0.004360,0.000675,0.013824,10,8,0.004102,0.000663,0.042177
62,1.078125,0.009047,0.001400,0.030001,10,7,0.008512,0.001375,0.071365
63,341.703125,2.509005,0.388299,7.955572,10,8,2.360571,0.381365,24.273017
64,325.656250,2.391179,0.370064,7.581967,10,8,2.249715,0.363456,23.133120
65,130.859375,0.960854,0.148704,3.032400,10,8,0.904009,0.146048,9.243323
66,99.125000,0.831817,0.128734,2.749535,10,7,0.782606,0.126435,6.565434
67,121.031250,0.789946,0.122254,2.252136,10,9,0.743213,0.120071,9.081845
68,101.593750,0.852534,0.131940,2.818013,10,7,0.802097,0.129584,6.728949
69,135.093750,1.322594,0.204687,4.363952,10,6,1.244349,0.201032,8.353149
70,0.640625,0.005376,0.000832,0.017770,10,7,0.005058,0.000817,0.042431
71,14974.328125,109.951194,17.016282,348.634053,10,8,103.446412,16.712420,1063.707317
72,107.437500,0.788876,0.122088,2.489646,10,8,0.742205,0.119908,7.588906
73,99.953125,0.652374,0.100963,1.859917,10,9,0.613779,0.099160,7.500202
74,11.343750,0.111058,0.017188,0.368838,10,6,0.104487,0.016881,0.707226
75,13.921875,0.116827,0.018080,0.389997,10,7,0.109915,0.017757,0.929942
76,8.343750,0.054458,0.008428,0.158618,10,9,0.051236,0.008278,0.631634
77,19.718750,0.128700,0.019918,0.374862,10,9,0.121086,0.019562,1.492739
78,36.578125,0.238738,0.036948,0.695769,10,9,0.224614,0.036288,2.844333
79,19.703125,0.128598,0.019902,0.374565,10,9,0.120990,0.019547,1.491556
80,10.078125,0.098667,0.015270,0.327686,10,6,0.092830,0.014997,0.628321
81,2.265625,0.014787,0.002289,0.043070,10,9,0.013912,0.002248,0.171511
82,14.437500,0.094231,0.014583,0.274463,10,9,0.088656,0.014323,1.092940
83,23.296875,0.152054,0.023532,0.442883,10,9,0.143058,0.023112,1.763608
84,18.953125,0.123703,0.019145,0.360307,10,9,0.116385,0.018803,1.434780
85,1.781250,0.011626,0.001799,0.033862,10,9,0.010938,0.001767,0.134843
86,1.031250,0.010096,0.001563,0.033531,10,6,0.009499,0.001535,0.064293
87,89.015625,0.653610,0.101154,2.062756,10,8,0.614942,0.099348,6.287667
88,0.500000,0.004196,0.000649,0.013869,10,7,0.003948,0.000638,0.033117
89,31.437500,0.263811,0.040828,0.877490,10,7,0.248204,0.040099,2.154385
90,8.312500,0.069755,0.010795,0.232860,10,7,0.065628,0.010603,0.555251
91,21.750000,0.182517,0.028247,0.609288,10,7,0.171719,0.027742,1.452838
92,33.921875,0.284659,0.044054,0.946834,10,7,0.267818,0.043268,2.324637
93,10.156250,0.066288,0.010259,0.193075,10,9,0.062366,0.010076,0.768843
94,36.843750,0.309178,0.047849,1.028390,10,7,0.290887,0.046995,2.524871
95,49.250000,0.482167,0.074621,1.593610,10,6,0.453642,0.073289,3.147739
96,49.453125,0.363117,0.056197,1.160508,10,8,0.341635,0.055193,3.617240
97,13.562500,0.099585,0.015412,0.318879,10,8,0.093693,0.015137,0.966319
98,56.296875,0.472421,0.073113,1.571369,10,7,0.444472,0.071807,3.857977
99,61.609375,0.402112,0.062232,1.171900,10,9,0.378323,0.061120,4.790776
100,14.500000,0.106468,0.016477,0.340921,10,8,0.100170,0.016183,1.033115
101,2.359375,0.017324,0.002681,0.055473,10,8,0.016299,0.002633,0.168104
102,0.703125,0.005900,0.000913,0.019697,10,7,0.005551,0.000897,0.046967
103,1.578125,0.011588,0.001793,0.037105,10,8,0.010902,0.001761,0.112440
104,3.000000,0.025175,0.003896,0.084040,10,7,0.023685,0.003827,0.200392
