algorithm,total_scheduling_time,total_storage_used,total_upload_time,total_parralelized_upload_time,number_of_data_stored,total_N,mean_storage_used,mean_upload_time,mean_N,initial_node_sizes,final_node_sizes,total_chunking_time,mean_chunking_time,mean_parralelized_upload_time,total_read_time,mean_read_time,total_read_time_parrallelized,mean_read_time_parrallelized,total_reconstruct_time,mean_reconstruct_time,size_stored
alg4_1, 81.895207, 19418330.229973, 99239.735030, 30335.697851, 103925, 431285, 186.849461, 0.954917, 4.149964, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11667302.065097, 11082355.213278, 11667302.065097, 10977181.465912, 10977203.899339, 9415053.148181, 11151197.480002, 8000000.000000, 4000000.000000, 11644074.433123]", 306241.580725, 2.946756, 0.291900, 95051.266645, 0.914614, 29947.398107, 0.288164, 572787.422568, 5.511546, 12167987.508348
alg1_c, 0.169632, 17382839.297640, 102108.831459, 15802.581180, 103925, 1039250, 167.263308, 0.982524, 10.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[12261716.070235, 14261716.070235, 12261716.070235, 10261716.070235, 10261716.070235, 10261716.070235, 14261716.070235, 6261716.070236, 2261716.070236, 10261716.070235]", 337233.928530, 3.244974, 0.152058, 96068.008258, 0.924397, 15520.392230, 0.149342, 816930.512929, 7.860770, 12167987.508348
alg_bogdan, 0.277218, 24327200.216670, 127041.274893, 40981.103369, 103925, 415557, 234.084197, 1.222432, 3.998624, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10459040.147598, 10459040.146091, 10459040.147565, 10459159.798941, 10459159.799005, 10459159.798949, 10459040.146091, 8000000.000000, 4000000.000000, 10459159.799090]", 330933.472559, 3.184349, 0.394333, 121047.514790, 1.164758, 40422.633940, 0.388960, 541288.084990, 5.208449, 12167987.508348
hdfs_3_replication_c, 0.056186, 36503962.525043, 160022.422518, 58499.939944, 103925, 311775, 351.252947, 1.539788, 3.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[1832012.491652, 3832012.491652, 1832012.491652, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 339192.085174, 3.263816, 0.562905, 145517.008633, 1.400212, 60237.561923, 0.579625, 486236.961778, 4.678729, 12167987.508348
hdfs_rs_3_2_c, 0.076374, 20279979.180579, 94945.141324, 21015.522467, 103925, 519625, 195.140526, 0.913593, 5.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[9944004.163885, 11944004.163885, 9944004.163885, 7944004.163885, 7944004.163885, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 322810.873094, 3.106191, 0.202218, 88270.334604, 0.849366, 20079.187308, 0.193208, 596340.204570, 5.738179, 12167987.508348
hdfs_rs_6_3_c, 0.131145, 18251981.262521, 100690.625326, 18107.124268, 103925, 935325, 175.626474, 0.968878, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11972002.081941, 13972002.081941, 11972002.081941, 9972002.081941, 9972002.081941, 9972002.081941, 13972002.081941, 5972002.081942, 1972002.081942, 12000000.000000]", 345424.534570, 3.323787, 0.174233, 93972.218700, 0.904231, 15248.104647, 0.146722, 761878.891533, 7.331045, 12167987.508348
hdfs_rs_4_2_c, 0.081064, 18251981.262521, 87219.365872, 16010.509879, 103925, 623550, 175.626474, 0.839253, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10958003.122913, 12958003.122913, 10958003.122913, 8958003.122913, 8958003.122913, 8958003.122913, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 314620.267054, 3.027378, 0.154058, 82297.972525, 0.791898, 16095.221572, 0.154873, 651391.825966, 6.267903, 12167987.508348
hdfs_rs_0_0_c, 0.125130, 18251981.262521, 100690.625326, 18107.124268, 103925, 935325, 175.626474, 0.968878, 9.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[11972002.081941, 13972002.081941, 11972002.081941, 9972002.081941, 9972002.081941, 9972002.081941, 13972002.081941, 5972002.081942, 1972002.081942, 12000000.000000]", 345424.534570, 3.323787, 0.174233, 93972.218700, 0.904231, 15248.104647, 0.146722, 761878.891533, 7.331045, 12167987.508348
glusterfs_6_4_c, 0.083908, 18251981.262521, 87219.365872, 16010.509879, 103925, 623550, 175.626474, 0.839253, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10958003.122913, 12958003.122913, 10958003.122913, 8958003.122913, 8958003.122913, 8958003.122913, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 314620.267054, 3.027378, 0.154058, 82297.972525, 0.791898, 16095.221572, 0.154873, 651391.825966, 6.267903, 12167987.508348
glusterfs_0_0_c, 0.080107, 18251981.262521, 87219.365872, 16010.509879, 103925, 623550, 175.626474, 0.839253, 6.000000, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[10958003.122913, 12958003.122913, 10958003.122913, 8958003.122913, 8958003.122913, 8958003.122913, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 314620.267054, 3.027378, 0.154058, 82297.972525, 0.791898, 16095.221572, 0.154873, 651391.825966, 6.267903, 12167987.508348
daos_1_0_c, 0.071399, 0.000000, 0.000000, 0.000000, 0, 0, -nan, -nan, -nan, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 0.000000, -nan, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000
daos_2_0_c, 0.071742, 0.000000, 0.000000, 0.000000, 0, 0, -nan, -nan, -nan, "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", "[14000000.000000, 16000000.000000, 14000000.000000, 12000000.000000, 12000000.000000, 12000000.000000, 16000000.000000, 8000000.000000, 4000000.000000, 12000000.000000]", 0.000000, -nan, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000, -nan, 0.000000
